imp_age,imp_educat,imp_female,imp_race,sevhard,sevhealthd,spmpov,spmres
55,4,1,2. Black Non-Hispanic,0,1,0,25705.043
49,1,1,5. Hispanic,0,0,1,36725.934
44,4,1,1. White Non-Hispanic,0,0,0,327338.91
59,3,0,1. White Non-Hispanic,1,1,0,31093.043
65,2,0,5. Hispanic,1,1,0,36705.48
51,3,1,1. White Non-Hispanic,0,0,1,24201.658
66,4,0,1. White Non-Hispanic,0,1,0,423890
53,3,0,4. Other / MultiRacial,1,0,1,20179.1
67,2,0,1. White Non-Hispanic,0,0,0,88054.211
58,3,1,5. Hispanic,1,0,0,23298.75
31,4,1,2. Black Non-Hispanic,1,0,0,49314.25
55,2,1,5. Hispanic,1,0,0,123137.05
37,2,0,2. Black Non-Hispanic,1,0,0,33005.078
52,1,1,5. Hispanic,0,0,0,32342.75
80,4,1,1. White Non-Hispanic,0,0,0,136870.28
67,3,0,5. Hispanic,0,1,0,25077.313
87,4,1,3. Asian Non-Hispanic,1,0,0,19298.023
35,3,0,5. Hispanic,1,0,0,30038.25
58,4,1,2. Black Non-Hispanic,1,0,0,19688.131
35,3,0,2. Black Non-Hispanic,0,0,1,24814.676
70,3,0,2. Black Non-Hispanic,1,1,1,23017.334
18,3,1,3. Asian Non-Hispanic,0,0,1,38503.73
27,2,0,1. White Non-Hispanic,0,0,0,35560.922
25,4,1,2. Black Non-Hispanic,0,0,1,10596.208
44,2,0,5. Hispanic,0,0,0,104140.37
25,4,1,5. Hispanic,1,1,1,29754.949
55,4,0,2. Black Non-Hispanic,1,1,0,20529.043
68,4,1,1. White Non-Hispanic,1,0,0,21281.402
36,3,1,4. Other / MultiRacial,0,1,0,158247.33
75,4,1,1. White Non-Hispanic,0,0,0,276245.19
40,2,1,5. Hispanic,0,0,0,215660.39
41,4,1,1. White Non-Hispanic,0,0,0,57365.5
61,2,1,2. Black Non-Hispanic,1,1,0,20127.023
44,3,1,5. Hispanic,0,0,0,256731.5
60,4,0,3. Asian Non-Hispanic,1,0,1,21920.949
75,3,1,1. White Non-Hispanic,0,0,0,46068.934
45,4,1,2. Black Non-Hispanic,0,0,0,43246.945
45,2,0,5. Hispanic,1,1,0,57968.922
75,1,1,2. Black Non-Hispanic,0,1,0,36217.063
55,2,1,5. Hispanic,0,1,0,140109.61
35,4,1,2. Black Non-Hispanic,0,0,1,31710.352
70,4,1,2. Black Non-Hispanic,0,0,0,59879.672
50,2,1,2. Black Non-Hispanic,1,0,0,36217.859
24,2,1,5. Hispanic,1,0,1,14940.8
25,4,1,3. Asian Non-Hispanic,0,0,1,0
56,2,1,1. White Non-Hispanic,0,0,0,73102.266
37,4,1,2. Black Non-Hispanic,0,0,0,178032.67
76,1,1,5. Hispanic,0,0,1,6182.9028
23,3,0,4. Other / MultiRacial,1,0,0,24048.25
76,4,0,1. White Non-Hispanic,0,1,0,48977.543
48,4,1,1. White Non-Hispanic,0,0,0,85006.398
57,1,1,5. Hispanic,0,1,0,30011.789
59,3,0,2. Black Non-Hispanic,1,0,0,20540.822
39,4,1,1. White Non-Hispanic,0,0,1,22835.6
78,4,0,1. White Non-Hispanic,0,0,0,212897.09
60.79496731,4,1,3. Asian Non-Hispanic,1,1,0,41807.781
62,1,1,4. Other / MultiRacial,1,0,1,13212.827
28,4,1,1. White Non-Hispanic,0,0,0,60011.5
91,2,1,2. Black Non-Hispanic,0,0,0,117470.64
43,4,1,1. White Non-Hispanic,0,0,0,91969.82
69,4,1,2. Black Non-Hispanic,1,0,0,81568.711
61,2,1,5. Hispanic,1,1,1,4673.5425
49,4,0,5. Hispanic,1,0,0,192857.48
57,3,1,1. White Non-Hispanic,1,0,0,122723.3
74,2,1,1. White Non-Hispanic,0,0,0,33663.246
80,2,1,1. White Non-Hispanic,0,1,0,113889.52
46,4,1,1. White Non-Hispanic,0,0,0,126794.1
69,4,1,5. Hispanic,0,1,0,45235.625
72,4,1,1. White Non-Hispanic,0,1,0,423890
43,2,1,2. Black Non-Hispanic,0,0,0,26148.551
33,4,0,1. White Non-Hispanic,0,0,0,125051.92
55,4,1,1. White Non-Hispanic,0,0,0,392661.41
43,4,1,1. White Non-Hispanic,0,0,0,55182.25
26,4,0,3. Asian Non-Hispanic,1,0,1,39670.129
53,2,1,2. Black Non-Hispanic,1,1,0,19151.773
30,3,1,2. Black Non-Hispanic,1,0,0,64424.813
27,4,1,1. White Non-Hispanic,0,0,0,58106.492
49,1,1,4. Other / MultiRacial,1,0,0,42581.688
59,2,1,1. White Non-Hispanic,1,0,0,57641.406
55,4,0,1. White Non-Hispanic,0,0,0,30834.018
21,2,1,5. Hispanic,0,0,0,41224.441
74,2,0,1. White Non-Hispanic,1,0,0,31573.34
40,4,0,3. Asian Non-Hispanic,0,0,0,31690.387
81,2,0,2. Black Non-Hispanic,0,0,1,6619.3599
35,3,1,2. Black Non-Hispanic,1,0,0,79151.734
26,1,1,2. Black Non-Hispanic,1,0,1,27263.805
39,4,1,5. Hispanic,1,0,0,46472
31,3,0,5. Hispanic,0,0,0,156197.13
81,2,1,2. Black Non-Hispanic,0,0,0,77806.688
33,4,0,1. White Non-Hispanic,0,0,0,115578.66
35,1,1,1. White Non-Hispanic,0,1,1,32688.949
43,2,0,5. Hispanic,0,0,0,62391.227
60,1,0,5. Hispanic,1,1,1,19541.447
18,1,0,2. Black Non-Hispanic,0,0,0,65846.938
62,3,1,1. White Non-Hispanic,0,0,0,181721.38
28,4,1,2. Black Non-Hispanic,0,0,0,138291.25
18,2,0,5. Hispanic,1,0,1,39059.871
38,4,1,3. Asian Non-Hispanic,0,0,0,73806.57
26,2,0,2. Black Non-Hispanic,1,0,0,63980.16
76,3,1,1. White Non-Hispanic,0,0,0,29803.164
57,3,1,2. Black Non-Hispanic,1,1,1,29754.609
53,2,0,2. Black Non-Hispanic,1,0,1,12167.835
69,2,1,2. Black Non-Hispanic,0,1,1,0
56,2,1,5. Hispanic,1,0,0,63352
71,4,0,2. Black Non-Hispanic,0,0,0,48500
46,4,0,4. Other / MultiRacial,0,0,0,334026.84
50,2,0,2. Black Non-Hispanic,0,0,1,3579.8376
56,3,1,2. Black Non-Hispanic,1,0,0,110542.79
28,2,1,1. White Non-Hispanic,0,0,0,89234.414
24,2,0,2. Black Non-Hispanic,1,0,1,32836.973
38,2,1,5. Hispanic,1,0,1,14983.439
48,2,1,2. Black Non-Hispanic,1,1,0,34873.734
85,4,0,1. White Non-Hispanic,0,0,0,314302.31
38,2,1,1. White Non-Hispanic,0,0,0,188722.19
40,4,1,1. White Non-Hispanic,0,0,0,197789.59
49,4,1,1. White Non-Hispanic,1,0,0,42816.973
46,4,0,2. Black Non-Hispanic,0,0,0,65401.301
22,3,0,5. Hispanic,1,0,1,13144.374
23,2,0,3. Asian Non-Hispanic,0,0,0,23153.73
53,1,1,5. Hispanic,1,1,1,9233.3408
47,3,0,1. White Non-Hispanic,1,0,0,53928.25
39,3,0,1. White Non-Hispanic,0,0,0,178604.34
71,4,1,1. White Non-Hispanic,0,0,0,162004.98
59,4,1,1. White Non-Hispanic,0,0,0,40000
48,4,1,2. Black Non-Hispanic,1,0,0,30058.602
48,4,1,5. Hispanic,0,0,0,413350.5
43,4,1,3. Asian Non-Hispanic,0,0,0,40705.824
18,2,1,2. Black Non-Hispanic,1,0,0,157851.77
70,3,1,2. Black Non-Hispanic,0,0,0,43112.48
30,4,0,3. Asian Non-Hispanic,1,0,1,29489.75
85,2,1,1. White Non-Hispanic,0,0,0,147701.28
85,4,0,1. White Non-Hispanic,0,0,0,407962.31
44,4,1,1. White Non-Hispanic,0,0,0,38419.664
31,4,0,1. White Non-Hispanic,1,0,0,423890
58,3,0,5. Hispanic,0,0,0,75623.242
67,1,1,2. Black Non-Hispanic,0,1,1,9442.7734
60,3,1,2. Black Non-Hispanic,0,1,1,14322.861
41,1,1,5. Hispanic,1,1,1,6093.0249
42,4,1,2. Black Non-Hispanic,0,0,0,136232.88
41,4,1,2. Black Non-Hispanic,0,0,0,53952.75
71,4,0,1. White Non-Hispanic,0,0,0,215305.75
45,4,1,1. White Non-Hispanic,0,0,0,45943.25
43,1,1,5. Hispanic,1,1,1,17824.109
37,3,0,2. Black Non-Hispanic,0,1,0,48890.648
44,3,0,2. Black Non-Hispanic,0,0,0,22149.674
79,4,0,2. Black Non-Hispanic,0,1,0,103302.18
25,2,1,2. Black Non-Hispanic,0,0,0,36944.426
52,2,0,2. Black Non-Hispanic,1,1,1,8553.043
69.42155681,3,1,4. Other / MultiRacial,0,0,0,146983.23
54,4,1,1. White Non-Hispanic,0,0,0,233207.09
58,2,0,2. Black Non-Hispanic,0,1,0,15418.043
34,4,1,1. White Non-Hispanic,0,0,0,34978.012
35,1,1,5. Hispanic,0,0,1,16886.467
76.95394227,4,1,2. Black Non-Hispanic,0,0,0,78124.875
49,2,1,2. Black Non-Hispanic,0,0,1,55215.191
29,3,1,2. Black Non-Hispanic,1,0,0,38435.594
23,3,0,5. Hispanic,0,0,0,65563.477
61,2,1,1. White Non-Hispanic,1,0,0,19458.25
22,3,1,5. Hispanic,1,0,0,25966.91
82,2,1,2. Black Non-Hispanic,0,1,1,16499.799
47,3,1,2. Black Non-Hispanic,1,0,1,24775.33
22,3,0,1. White Non-Hispanic,0,0,0,128907.17
32,1,1,2. Black Non-Hispanic,1,1,1,17184.98
41,4,0,1. White Non-Hispanic,0,0,0,223508.33
73,4,0,2. Black Non-Hispanic,0,0,0,36084.98
45,4,0,1. White Non-Hispanic,0,0,0,89519.797
25,4,1,1. White Non-Hispanic,0,0,0,190043.25
50,4,1,1. White Non-Hispanic,0,0,0,29846.502
62,1,1,5. Hispanic,0,1,0,27254.457
58,4,1,2. Black Non-Hispanic,0,0,0,96441.297
66,2,0,2. Black Non-Hispanic,0,1,0,115678.38
56,1,0,2. Black Non-Hispanic,1,0,1,7525.5425
45,1,1,2. Black Non-Hispanic,1,0,0,42274.781
39,4,1,1. White Non-Hispanic,1,0,0,19887.17
54,3,0,5. Hispanic,0,1,0,207171.55
51,2,1,2. Black Non-Hispanic,0,0,0,55652.18
23,4,1,1. White Non-Hispanic,0,0,0,138220.61
38,4,1,5. Hispanic,1,1,0,23098.08
40,4,1,5. Hispanic,0,0,0,78898.938
40,2,0,5. Hispanic,0,0,0,18760.625
40,4,0,1. White Non-Hispanic,0,1,0,86887.078
79,4,0,5. Hispanic,1,0,0,18433.043
58,1,1,2. Black Non-Hispanic,1,1,0,27459.521
53,4,1,4. Other / MultiRacial,0,0,0,54780.086
24,4,0,3. Asian Non-Hispanic,0,0,0,49853.25
54,4,1,1. White Non-Hispanic,0,0,0,423890
35,4,0,1. White Non-Hispanic,0,0,0,74005.5
40,4,1,2. Black Non-Hispanic,0,0,0,42253.723
51,3,1,4. Other / MultiRacial,0,0,0,121679.82
77,4,1,1. White Non-Hispanic,0,0,0,81781.391
25,2,0,2. Black Non-Hispanic,1,0,1,728.80127
55,2,0,5. Hispanic,0,0,0,95502.25
63,3,0,1. White Non-Hispanic,0,0,0,73073.5
82,3,1,1. White Non-Hispanic,0,0,0,26934.98
24,3,1,1. White Non-Hispanic,0,0,1,17468.391
