Age,Household_Resources
27,42909.418
39,79472.422
51,5181.3042
49,20157.043
27,113699.48
21,56380.809
49,5198.1284
32,10102.951
20,26720.879
40,15445
40,13149.043
25,728.80127
51,11491.893
20,60238.77
30,13137.043
33,12633.043
46,48075.387
46,65401.301
54,22473.043
46,19582.902
42,21010.455
61,17911.789
54,14369.586
45,35665.758
57,17138.699
62,9516
57,30695.758
41,24.52
75,35455.762
43,33038.945
70,34433.027
65,30547.182
22,25966.91
27,22930.25
69,54551.949
52,20954.996
35,33523
44,22149.674
58,15418.043
35,114638.82
62,21738.057
31,25201.799
19,95033.961
19,91057.273
18,65846.938
20,32955.93
22,132420.58
18,51585.633
20,95048.688
18,27627.154
18,86168.445
20,80529.336
19,46294.672
19,106041.43
19,90155.344
19,42045.355
29,20997.455
30,95003.039
49,55215.191
50,55059.57
38,80045.719
50,5075
51,38521.5
35,32688.949
46,81238.18
36,35893.125
54,33401.238
43,51038.766
43,56461.25
52,9873.043
46,14986.49
25,8913.043
59,20540.822
57,29410.523
51,17966.869
51,70978.492
42,621.8902
51,15894.968
52,8553.043
22,31999.695
32,20643.637
46,21029.311
22,39722.43
21,116727.64
22,16399.684
48,25930.385
50,9499.2598
44,11359.529
47,63262.25
44,10953.043
48,31229.928
57,13372.813
43,3273.4172
58,11570.23
50,19701.541
49,12010.86
54,18319.98
51,41145.043
57,30011.789
56,8353.043
41,46113.906
25,120305.57
28,92914.867
27,53578.41
38,49074.883
26,22572.406
37,37300.949
24,41303.535
18,51217.773
30,31156.896
28,51599.16
26,36137.27
19,26595.678
18,44567.027
22,51969
20,55472.379
21,128664.06
22,87073.766
18,20233.295
21,118834.63
21,33733.289
19,56297.023
19,52415.055
19,86768.563
49,16157.977
33,20202.701
52,20386.242
29,15943.943
53,30259.828
55,20529.043
44,7183.0098
21,14177.043
44,10663.55
56,88940.25
55,28355.582
54,25663.25
54,70790.406
58,75623.242
56,31511.328
53,23698
49,26560
31,19585.631
40,18424.307
50,3579.8376
65,19583.848
35,7897.2231
56,23099.5
55,102494.63
43,18317.523
51,87535.273
42,109826.24
58,4870
55,25705.043
48,1347.9449
53,12167.835
48,11919.277
77,10700
54,19580.152
73,12249.98
31,14176.2
26,56156.398
20,26300
33,36493.75
57,19420.25
23,23745.752
20,25359.369
23,6357.7002
54,43103.012
49,39507.898
53,6876.9053
42,53340.77
73,24844.646
23,112045.6
42,28471.73
46,133927.27
24,54484.609
43,66695.328
60,133916.41
65,60397.043
72,21200
46,115579.14
58,200832.2
49,52861.859
40,29809.459
63,18758.902
72,10097.99
57,34081.387
51,36840.512
42,88035.039
36,44019.133
52,42010.84
44,59920.699
36,11271.933
66,24933.232
45,13887.368
59,70341.555
52,18338.344
30,848.84601
45,41735.055
75,110523.98
61,52548.402
50,72491.055
41,53952.75
65,-3950
43,128448.25
50,80196.523
45,75573.063
61,160974.75
73,99540.555
43,45172.285
50,207400
35,70607.5
58,90100
86,17650
37,185536.34
45,172610.61
46,32912.703
51,122681
25,63166.965
40,139736.17
58,58816.898
54,207400
34,72010.469
74,31573.34
51,19445.418
67,69626.602
60,110412.04
49,192857.48
