Age,Household_Resources
48,60709.41
30,77722.242
58,197060.88
29,91750.867
54,150180.48
54,37653.25
52,76467.063
48,28953.336
76,23759.273
75,10267.61
62,32252.178
45,72106.883
48,41048.25
42,136232.88
47,12527.978
69,20452.902
78,-627.08051
85,54047.832
53,366.75
56,108592.34
57,20404.5
42,16842.77
56,56265.758
81,16333.61
41,61273.238
21,47688.852
50,29846.502
57,-10000
64,207400
58,45819.25
50,17050.809
45,47361.836
62,133114.75
26,55333.445
18,21259.416
60,14261.239
,56321.48
56,171922.41
39,56991.063
54,35313.043
27,5942.6079
75,207400
37,38751.734
84,16470.361
55,124547
27,82550.195
51,41264.25
34,36011.215
51,79978.805
56,30527.07
44,87061.375
34,31411.604
43,88805.25
61,60075
62,33073.078
32,94867.156
62,87699.594
49,31776.789
65,51049.398
58,18853.408
57,38990.242
56,207400
71,83455.508
49,50358.699
55,35821.387
45,53267.25
54,38291.461
43,55182.25
55,123137.05
63,20231.273
74,27782.953
24,49853.25
57,27560.25
46,55540.25
82,42559.789
73,33666.051
26,52463.219
55,29713.568
91,117470.64
67,19451.84
53,32474.152
50,73545.219
35,20679.369
64,110699.2
76,86246.258
53,61411.5
49,99362.828
44,17890.523
80,54095.98
62,77337.734
63,10324.566
47,34856.074
66,17522.064
68,148155.77
72,74619.75
61,19980.652
64,20951.637
42,94583.797
29,70055.922
26,38290.266
30,47142.57
49,79138.359
49,129969.2
34,49553.5
68,18002.484
55,68038.703
44,41036.809
52,42666.227
72,9950
58,62661.871
52,46584.559
53,27767.781
39,36602.398
73,57773.98
31,45290.25
48,103291.75
34,207400
56,44108.25
49,24823.5
19,21943.85
,45000
50,99094.852
64,9676
37,33005.078
62,108207.3
18,64075.336
88,125766.93
60,192581.61
60,32229.293
71,202586.81
69,8703.9805
28,60011.004
38,16204.98
80,30999.789
63,71109.43
25,54266.852
63,52026.313
80,28670.693
70,39441.77
58,34856.34
82,122438.16
40,30678.293
39,67370.25
60,12317.882
62,75886
,58450.383
51,73559.266
51,24409
18,69443.586
43,17824.109
62,83848.914
51,56859.734
49,126004.58
53,33965.934
25,17086.82
49,36725.934
54,23021.5
30,80119.844
54,30614.789
36,158247.33
44,207400
58,72421.297
71,21707.77
53,19890.023
80,10899.98
59,60246.324
58,136054.16
66,207400
34,76967.859
88,22844.557
46,82708.25
40,127280.6
46,127023.96
69,134374.91
88,94612.398
55,107597.77
47,92506.102
46,65408.969
74,33663.246
62,143407.25
79,21392
51,35958
75,15318.114
57,52383.5
37,22517.189
73,185778.27
51,5564.5488
71,207400
75,171209.66
41,69530.266
59,47467.57
68,90314.695
27,91000.375
43,20207.73
38,23098.08
85,10778.023
50,6876
56,54309.48
55,35639.637
26,58975.758
35,207400
55,99240.398
26,67310.07
47,4302.3901
60,207400
83,12528.27
38,207400
,-3102.7944
51,207400
,184095.48
55,4663
57,207400
82,26934.98
44,58899.91
33,54525.539
31,47408.367
58,131668.06
33,207400
56,73102.266
70,59879.672
35,129481.21
83,90954.078
76,15205.98
31,30844.92
62,24955.527
24,22357.273
29,42570.723
52,100115.7
67,48642.75
28,66724.602
48,23272.686
55,95870.117
52,58636.602
63,63388.805
74,58589.035
72,94500
60,95586.703
48,161604.89
69,54463.23
31,135394.56
23,144223.86
42,207400
62,69621
73,73689.969
37,48754.199
28,59413.754
37,64807.25
71,48500
62,45910.391
,130986.94
41,2281
38,73754
32,30422.555
78,17350.023
66,601.22784
56,19977.25
50,44336.25
63,73073.5
54,169872.2
35,60485.852
21,20197.219
35,160638.8
64,26419.277
25,10596.208
30,5244.54
81,30300
64,207400
27,31763.867
,18935.502
66,30077.035
35,61430.418
62,13212.827
46,33984.25
38,77972.203
45,61116
66,78216
40,85412.273
62,13209.88
28,155804.59
48,19499.5
22,114209.68
24,133684.13
47,11551.961
18,65794.289
45,22052.529
54,157753.25
36,50
29,44733.914
35,77064.023
28,16809
29,120835.28
36,73210.672
26,75068.5
25,50994.012
33,20420.791
18,26825.381
29,36274.672
21,66822.102
39,96464.289
58,50671.195
51,147792.94
36,95417.25
55,182884.3
39,46472
23,91370.875
40,30158.25
35,131579.3
44,104140.37
18,35039.723
23,145317.73
24,65853.68
53,50158.52
56,108976.5
29,33025.43
55,30834.018
23,23153.73
25,46553.184
35,43952.84
24,48738.25
53,92440.898
23,24048.25
34,125417.61
20,8901.0889
42,19776.938
62,37183.5
29,52038.602
20,16889.861
23,50254.93
52,48064.25
45,90237.813
31,66024.422
36,35625.309
57,43307.332
31,54138.91
56,28008.496
68,19493.652
59,119531.3
20,25378.75
68,80369.961
24,20184.986
50,207400
46,45170.648
45,15033.455
30,14533.481
42,207400
37,24821.125
43,91969.82
53,21605.859
44,126915
42,57958
59,22196.5
23,16917.143
23,40103.152
20,47693.141
