imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,q4r_age,r_age,sevhard,sevhealthd,spmpov,spmres,q4foodindsev,q4houseindsev,q4billindsev,q4financindsev,q4sevhard,q4spmres,q4spmpov,qweight_p,qweight_pu,q8r_age,q8sevhealthd,q8foodindsev,q8houseindsev,q8billindsev,q8financindsev,q8sevhard,q8spmres,q8spmpov
0,4,1,1,0,0,1. White Non-Hispanic,69,68,1,0,0,21900,0,0,0,0,0,209057.91,0,5873,5873,71,0,0,0,0,0,0,42500,0
0,4,0,0,0,0,4. Other / MultiRacial,57,55,0,1,0,98335.563,0,0,0,1,1,86054.508,0,2376,792,57,0,0,0,1,0,1,84908.797,0
0,4,0,0,0,0,3. Asian Non-Hispanic,26,25,0,0,0,75298.977,0,0,0,0,0,71966.336,0,13911,4637,27,0,0,0,0,0,0,87257.57,0
1,2,1,1,1,0,5. Hispanic,39,38,1,0,0,26058.959,1,1,0,1,1,-1648.6748,1,6744,6744,40,0,0,,1,1,,39514.941,0
0,4,0,0,0,0,2. Black Non-Hispanic,45,44,0,0,0,49377.25,0,1,0,0,1,3533.25,1,4367,2184,45,0,0,0,0,0,0,185629.42,0
0,4,0,0,0,0,1. White Non-Hispanic,62,61,0,0,0,41056.293,0,0,0,0,0,45700.25,0,9999,9999,63,0,0,0,0,0,0,45858.82,0
0,3,1,0,0,0,1. White Non-Hispanic,67,66,0,0,1,4300,0,0,0,0,0,42700,0,4941,4941,69,0,0,0,0,0,0,50360,0
0,2,0,0,0,0,1. White Non-Hispanic,86,85,0,1,0,21121.23,0,0,0,1,1,24540.98,0,12117,12117,87,1,0,0,0,1,1,21390.539,0
0,3,1,1,1,0,5. Hispanic,,18,1,0,0,42676.566,,,,,,,,2990,997,,,,,,,,,
0,3,1,0,1,0,2. Black Non-Hispanic,,52,1,1,1,0,,,,,,,,3067,3067,,,,,,,,,
1,2,0,0,1,0,2. Black Non-Hispanic,60,59,1,1,0,60935.867,1,0,1,0,1,23456.48,0,5471,2736,61,1,1,0,1,0,1,11420.23,1
0,3,1,0,0,0,2. Black Non-Hispanic,75,74,0,1,0,21945.994,0,0,0,0,0,31716,0,3712,3712,77,1,0,0,0,0,0,16149.23,0
0,2,1,0,0,0,2. Black Non-Hispanic,71,70,0,0,0,162871.48,0,0,0,0,0,18643.609,0,2343,2343,72,0,0,0,0,0,0,24835.609,0
0,4,1,0,0,0,1. White Non-Hispanic,86,85,0,0,0,179582.45,0,0,0,0,0,140454.19,0,7658,3829,87,1,0,0,0,0,0,108904.84,0
0,4,1,0,0,0,1. White Non-Hispanic,41,40,0,0,0,197789.59,1,0,0,1,1,93293.438,0,9618,3206,42,0,0,0,0,1,1,206718.41,0
1,3,0,0,1,0,2. Black Non-Hispanic,62,60,1,1,0,27275.043,0,0,0,0,0,65027.172,0,2846,2846,63,0,0,0,0,0,0,68030.234,0
0,4,1,0,0,0,2. Black Non-Hispanic,76,75,0,0,1,25994.229,0,0,0,1,1,49839.109,1,5571,928,77,0,0,0,0,0,1,99578.609,0
0,4,1,0,0,0,1. White Non-Hispanic,23,22,0,0,0,78704.719,0,0,0,0,0,32131.801,1,37212,9303,24,0,0,0,0,0,0,80672.563,0
0,4,0,0,0,0,1. White Non-Hispanic,41,41,0,0,0,207400,0,0,0,0,0,147940.52,0,3728,1864,42,0,0,0,0,0,0,51321.301,0
0,4,0,0,0,0,1. White Non-Hispanic,,70,0,1,1,-23986.656,,,,,,,,10799,5400,,,,,,,,,
1,2,1,1,0,0,2. Black Non-Hispanic,,68,1,1,0,28148.766,,,,,,,,9634,9634,,,,,,,,,
0,2,0,0,0,0,5. Hispanic,43,42,0,0,0,97537.383,0,0,0,0,0,117500.38,0,15677,5226,,0,0,0,0,0,0,192451.41,0
0,3,0,0,0,0,5. Hispanic,58,57,0,0,0,49652.25,0,0,0,0,0,49556.539,0,6384,6384,,,,,,,,,
0,4,0,0,0,0,1. White Non-Hispanic,,41,0,0,0,138768.59,,,,,,,,8789,4394,,,,,,,,,
0,1,1,0,0,0,2. Black Non-Hispanic,81,80,0,0,1,8246.2305,0,0,0,0,0,22552.609,0,6955,6955,82,0,0,0,0,0,0,8400,1
0,2,0,0,0,0,2. Black Non-Hispanic,32,31,0,0,0,115928.72,0,0,0,0,0,149822.09,0,18077,9038,33,0,0,1,1,0,1,47099.395,0
