subject_id,adultx,childx,hardscl,p1_age,p1_gender,p1_rel,p2_age,p2_gender,p2_rel,p3_age,p3_gender,p3_rel,p4_age,p4_gender,p4_rel,p5_age,p5_gender,p5_rel,p6_age,p6_gender,p6_rel,p7_age,p7_gender,p7_rel,p8_age,p8_gender,p8_rel,p9_age,p9_gender,p9_rel,personx,problems,qa1,qa8,qa8x,qa9,qa9a,qa9x,qa10,qa10x,qa11,qb1,qb2,qb3,qb6,qc1,qc2,qc3,qc4x,qc4,qc5_1,qc5_2,qc5_3,qc5_4,qc5_5,qc5_6,qc5_7,qc5_8,qc5_9,qc5_10,qc5_11,qc5_12,qc5_12x,qc6,qd1,qd2,qd3,qd4,qd5,qd6,qd7x,qd7,qf1,qf2,qf3,qf4,qf5,qf6,qf7,qf8,qf9,qf10,qg1,qg2,qg2x,qg3,qg4,qg4x,qh1,qh2a,qh2b,qh3,qh4a,qh4b,qh5_1,qh5_2,qh5_3,qh5_4,qh5_5,qh5_6,qh5_7,qh5_8,qh5_9,qh5_10,qh6_1,qh6_2,qh6_3,qh6_4,qh6_5,qh6_6,qh6_7,qh7,qh7a,qh7b,qh9,qh10,qh10f,qh10x,qh18,qh18x,qi1,qi2_asian,qi2_black,qi2_hpa,qi2_natam,qi2_oth,qi2_white,qi3,qi3x,qi4,qi4x,qi5,qi6,qi6a,qi6b,qi8,qi9,qi10,r_age,r_gender,sppart,female,qh19f,qh19x,qb5_6x,qi2_othx,qa1x,qb5_1,qb5_2,qb5_3,qb5_4,qb5_5,qb5_6,qh6_1x_tc,qh6_2x_tc,qh6_3x_tc,qh6_4x_tc,qh6_5x_tc,qh6_6x_tc,qh6_7x_tc,OPM_incneeds_tc,SPM_incneeds_tc,imp_earnhd_tc,imp_earnsp_tc,imp_incret_tc,imp_incdis_tc,imp_incwelf_tc,imp_incui_tc,imp_incsnap_tc,imp_increg_tc,imp_incoth_tc,imp_incothhh_tc,qh1x_tc,qh3x_tc,qh7x_tc,spmpov_tc,opmpov_tc,sevhealth,qweight_p,qweight_pu
11,2,2,2,31,2,1,5,1,3,11,2,3,,,,,,,,,,,,,,,,,,,4,0,1,1,1500,1,98,1500,,,2,1,1,1,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0,0,1,7,1,1,3,3,0,0,0,0,0,0,2,1,1,12,1,1,12,1,,,1,,,0,0,0,0,0,0,0,1,0,0,,,,,,,,1,,,1,1,1,250,1,0,0,0,0,0,0,0,1,6,Armenia,1,1997,7,1,16,,1,,,32,1,1,0,1,100,,,,,,,,,,,,,,,,,3.1782846,2.2343898,25000,12000,0,0,0,0,0,0,0,37000,25000,12000,37000,0,0,0,5372.720896524078,2760.569108972191
12,2,0,3,56,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1300,1,0,1300,,,2,4,2,1,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,,1,1,1,5,1,1,2,2,0,0,0,1,0,1,2,1,1,12,1,1,12,1,,,98,6,,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,1,4000,0,0,1,0,0,0,0,6,Jamaica,99,,8,1,13,,1,,,54,2,1,1,3,2400,,,,,,,,,,,,,,,,,6.1791205,3.2712166,50000,44997.801,0,0,0,0,0,0,0,0,50000,,0,0,0,1,1485.866035977154,763.2846828977465
13,1,3,3,13,1,3,10,2,3,2,2,3,,,,,,,,,,,,,,,,,,,4,1,1,1,1750,1,0,1750,,,3,4,2,1,1,1,4,0,,,1,0,0,0,0,0,0,0,0,0,0,0,,5,4,0,0,0,1,1,7,1,2,2,2,1,0,0,0,1,0,1,0,1,4,,,,1,,,,,,0,0,1,0,1,1,1,1,1,0,,,1,,1,97,,1,,,1,1,1,75,1,0,1,0,0,0,0,0,1,1,,,,2,1,30,,1,,,30,2,0,1,1,29,,,,0,0,0,0,1,0,,,1000,,6000,,,1.0900515,1.3666662,18000,0,0,0,1000,0,6000,6467.9639,0,0,18000,,0,0,0,1,1526.538159914604,1568.707613549722
14,4,1,2,48,2,13,8,1,6,18,2,12,54,1,14,,,,,,,,,,,,,,,,5,0,1,98,,98,1,,,,3,3,3,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,,0,0,2,9,1,2,3,3,0,0,0,0,0,0,2,0,1,10,,,,1,,,,,,0,0,0,0,0,0,1,1,0,0,,,,,,,,1,,,,,,,1,200,0,0,1,0,0,0,0,1,,,,7,1,20,,1,,1,22,1,0,0,3,400,,,,,,,,,,,,,,,,,1.622144,1.2894047,7000,0,0,0,0,0,0,0,0,40000,7000,,40000,0,0,0,588.7456628978358,151.4236220111328
15,4,1,3,43,2,12,18,2,14,3,1,7,65,1,14,0,,,0,,,0,,,0,,,0,,,5,2,4,98,,,,,,,2,4,1,1,,1,2,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,0,,1,1,1,0,1,4,1,1,3,1,1,3,3,0,1,0,2,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,,,,,1,,,98,1,,,,,,98,,1,0,0,0,0,0,0,1,,,,4,1,48,,1,,0,48,1,0,0,,,,,,,,,,,,,,,,2400,,,.083774351,.0084850471,0,0,0,0,0,0,2400,0,0,2427.2781,,,,1,1,1,1831.912467510537,470.7150602789513
16,2,3,3,42,1,1,16,1,3,13,2,3,7,2,3,,,,,,,,,,,,,,,,5,1,1,1,736,1,1,736,,,3,3,4,0,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,,5,2,0,0,0,0,1,7,1,1,1,2,0,0,0,1,0,0,2,1,1,3,1,1,12,1,,,98,3,,0,0,0,0,1,0,0,0,0,0,,,,,1,,,1,,,0,,,,1,0,1,0,0,0,0,1,0,6,Honduras,1,2000,3,1,13,,1,,,38,2,1,1,1,25,,hispanic,,,,,,,,,,,,4800,,,.55202174,1.1889917,1600,13525.396,0,0,0,0,4800,0,0,0,1600,,0,0,1,0,1433.192301697507,736.562867248723
17,2,2,2,46,1,1,14,1,3,11,1,3,,,,,,,,,,,,,,,,,,,4,0,1,1,920,1,0,920,,,3,3,1,0,1,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,,5,4,0,1,0,0,2,6,1,2,2,3,0,0,0,0,0,0,3,0,2,,1,1,12,,,,98,1,,0,0,0,0,0,0,0,1,0,1,,,,,,,1,1,,,0,,,,1,0,1,0,0,0,0,1,0,4,,1,1995,3,1,7,,0,0,1,42,2,1,1,2,104,,Hispanic,,,,,,,,,,,,,,8400,2.028106,1.5378525,0,3820.3892,0,0,0,0,0,0,8400,35000,,,35000,0,0,1,532.0713918374553,273.3847293323167
18,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1450,1,1,1450,,,1,3,2,1,,0,,0,,,1,0,0,0,1,0,0,0,0,0,0,0,,5,2,0,,1,1,1,6,1,1,2,2,0,0,0,1,0,1,2,1,1,9,,,,1,,,,,,0,0,0,1,1,0,0,0,0,0,,,,1,1,,,,,,,,,,1,1000,0,0,0,0,0,0,1,1,,,,8,1,6,,1,,,34,2,0,1,2,150,,,,,,,,,,,,,3600,113,,,5.1569695,2.9606547,58000,0,0,0,0,3600,113,0,0,0,58000,,,0,0,1,765.1026593151378,786.2380373654974
19,2,0,1,59,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,99,,2,1,1,1,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,,0,0,3,9,1,1,3,3,0,0,0,0,0,0,3,0,2,,0,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,99,,10,,,,,1,10000,0,0,0,0,0,0,1,1,,,,8,1,10,,1,,,57,2,1,1,,,,,,,,,,,,,,,,,,,0,-.47399762,0,0,0,0,0,0,0,0,0,0,,,,1,1,0,2219.964535241613,1140.815975785232
20,2,0,3,32,1,2,31,1,15,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1900,1,0,600,,,2,1,1,1,,0,,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,5,1,0,,0,0,2,7,1,1,3,3,0,0,0,0,0,1,3,1,1,1,1,1,12,1,,,1,,,0,0,0,0,0,0,0,1,1,0,,,,,,1,,1,,,,,,,1,1000,0,0,0,0,0,0,1,1,,,,8,1,26,,1,,0,31,1,1,0,2,100,,,,,,,,,,,,,,,5000,,4.5531416,3.2322621,15000,50000,0,0,0,0,0,5000,0,0,15000,50000,120000,0,0,0,1637.886433644999,561.1581286294922
