subject_id,q3a1,q3a2,q3a3_1,q3a3_2,q3a3_3,q3a3_4,q3a3_5,q3a3_6,q3a3_7,q3a3_8,q3a4_1,q3a4_2,q3a4_3,q3a4_4,q3a4_5,q3a4_6,q3a4_7,q3a4_8,q3a4_9,q3a4_10,q3a4_11,q3a5,q3a6,q3a7,q3a7_1x,q3a7_2x,q3a7_3x,q3a7_4x,q3a8,q3a9,q3a10,q3a11,q3a12,q3a13,q3b1,q3b2,q3b2x,q3b3,q3b3x,q3b4,q3b5,q3b6,q3b6a,q3b6x,q3b7,q3b8,q3b8x,q3b9,q3b10,q3b11_1,q3b11_1x,q3b11_2,q3b11_2x,q3b11_3,q3b11_3x,q3b12_1,q3b12_1x,q3b12_2,q3b12_2x,q3b12_3,q3b12_3x,q3b13,q3b14,q3b14x,q3b15,q3b16,q3b17,q3b17x,q3b18,q3b19,q3b20,q3b20x,q3b21,q3b22,q3b23,q3b23x,q3b24,q3b25,q3b26,q3b26x,q3b27,q3b28,q3b29,q3b29x,q3b30,q3b31,q3b32,q3b32x,q3b33,q3b34,q3b35,q3b35x,q3b36,q3b36x,q3b37,q3c1,q3c2,q3c3,q3c3x,q3c4,q3c5,q3c6,q3c6x,q3c7,q3c8,q3c9,q3c9x,q3c10,q3c11,q3c12,q3c12x,q3c13,q3c13x,q3c14,q3c15,q3c16,q3d1,q3d2,q3d3,q3newyork,q3weight_p,q3weight_pu
15,3,0,0,0,0,0,0,1,,,0,0,0,1,0,0,0,0,0,1,0,0,1,1,mother ill,,,,1,1,0,1,1,5,4,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,0,,,,,0,,,,1,98,,1,1,1,child support,1,80000,,0,0,1,1,98,1,1797.909407,1348
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,0,0,0,0,0,0,0,,,1,0,0,0,0,1,0,0,0,0,0,,0,,,,,,3,0,0,0,2,2,1,,,,,,,,,,,,,,1,1,2002,97,,97,,1,Honda Civic,97,,97,,1,1,600,,0,,,,0,,,,0,,,,1,1,2500,,1,1,93000,,0,,,,0,,,,,,1,2,1,20000,,1,1,150000,,1,1,165,,2,,,,,,0,0,0,0,0,1,1124.151775,3372
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,0,0,0,0,0,0,0,,,1,1,0,1,0,0,0,0,1,0,0,,0,,,,,,3,0,0,0,3,2,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,15000,,1,1,35000,,1,1,150000,,0,,,,1,1,8000,,0,,,,0,,,,0,,,,,,1,1,,,,0,,,,0,,,,2,,,,,,1,0,0,98,1,1,3101.085352,3101
21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,1,3,2,2,1,1984,1,400000,,1,1,,10000,0,,,,1,1,2006,97,,97,,1,Honda Minivan,97,,97,,1,1,14000,,1,98,,98,1,98,,98,0,,,,1,1,10000,,1,98,,98,0,,,,0,,,,,,1,1,,,,0,,,,0,,,,2,,,,,,98,0,0,0,0,1,4149.226864,3112
22,3,0,0,1,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,3,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,98,,1,0,,,,1,98,,1,0,,,,1,98,,5,0,,,,0,,,,0,,,,,,1,2,1,500,,0,,,,0,,,,2,,,,,,0,0,1,0,1,1,6167.832735,9250
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,,0,,,,,,3,0,0,0,3,2,1,,,,,,,,,,,,,,1,1,2012,97,,97,,1,Mercedes Benz,97,,97,,1,98,,5,1,98,,5,1,98,,8,0,,,,1,98,,7,1,98,,8,0,,,,1,1,Jewelry,98,,5,1,2,98,,2,0,,,,0,,,,2,,,,,,1,0,0,98,1,1,4482.605208,6723
25,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,1,0,1,0,1,1,1,,,,,,,,,,,,,,1,1,2001,97,,97,,1,Jeep,97,,97,,1,98,,1,0,,,,98,,,,0,,,,0,,,,1,1,36000,,0,,,,0,,,,,,1,2,1,12000,,0,,,,1,1,500,,2,,,,,,0,0,0,1,0,1,3957.534317,11871
26,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,3,2,1,2004,1,475000,,0,,,,1,98,,3,1,1,2002,97,,97,,1,Nissan Murano,97,,97,,1,98,,97,98,,,,98,,,,98,,,,1,98,,9,1,98,,9,0,,,,0,,,,,,0,,,,,0,,,,0,,,,2,,,,,,0,0,0,98,0,1,7942.739036,11912
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,1,1,Im the main source of income and i lost my job,,,,2,0,0,1,2,4,4,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,400,,0,,,,0,,,,0,,,,1,1,200,,1,98,,2,0,,,,0,,,,,,0,,,,,0,,,,1,98,,2,2,,,,,,0,0,1,1,1,1,2065.945595,2066
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,0,0,0,0,0,1,0,,,0,0,0,0,0,0,1,0,0,0,0,,0,,,,,,3,0,0,0,2,3,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,4000,,0,,,,0,,,,0,,,,0,,,,1,98,,98,0,,,,0,,,,,,1,1,,,,0,,,,1,98,,1,2,,,,,,0,0,1,1,1,1,10809.12603,32423
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,0,0,0,0,0,0,0,,,0,0,1,0,98,98,98,0,0,0,0,,0,,,,,,3,0,0,0,3,3,4,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,0,,,,98,,,,0,,,,0,,,,0,,,,0,,,,,,0,,,,,0,,,,0,,,,2,,,,,,0,0,98,98,98,1,6574.887692,19722
36,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,2,0,1,1,2,3,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,0,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,0,,,,,0,,,,0,,,,2,,,,,,0,0,1,98,98,1,16326.20424,16324
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,1,97,97,97,97,97,97,97,97,97,97,97,97,97,1,97,97,97,97,97,,1,1,moved,,,,3,0,0,0,3,1,1,,,,,,,,,,,,,,1,1,2010,97,,97,,1,Toyota Celica,97,,97,,1,98,,4,0,,,,0,,,,98,,,,1,98,,8,1,98,,5,0,,,,98,,,,,,1,1,,,,0,,,,0,,,,2,,,,,,0,0,0,0,0,1,2984.73631,4476
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,2,1,,,,,,,,,,,,,,1,1,2013,97,,97,,1,Nissan Sentra,97,,97,,1,1,3000,,0,,,,0,,,,0,,,,1,1,6000,,1,1,5000,,0,,,,0,,,,,,1,2,1,400,,1,1,52000,,0,,,,2,,,,,,0,0,0,0,0,1,2033.274518,2033
41,1,97,97,97,97,97,97,97,,,97,97,97,97,97,97,97,97,97,97,97,,97,,,,,,,,,,,97,1,,,,,,,,,,,,,,1,97,,97,,97,,97,,97,,97,,1,99,,,0,,,,1,99,,,0,,,,1,1,400000,,0,,,,0,,,,1,1,artwork,98,,98,1,1,,,,0,,,,0,,,,1,1,mortgage,1,20000,,0,1,0,0,0,97,1144.821232,1717
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,4,2,1,1973,98,,98,0,,,,0,,,,0,,,,,,,,,,,,,1,1,80000,,1,1,600000,,0,,,,0,,,,1,1,40000,,1,98,,98,0,,,,0,,,,,,1,2,1,8000,,0,,,,0,,,,2,,,,,,0,0,0,0,0,1,1196.494875,3589
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
