subject_id,q3a1,q3a2,q3a3_1,q3a3_2,q3a3_3,q3a3_4,q3a3_5,q3a3_6,q3a3_7,q3a3_8,q3a4_1,q3a4_2,q3a4_3,q3a4_4,q3a4_5,q3a4_6,q3a4_7,q3a4_8,q3a4_9,q3a4_10,q3a4_11,q3a5,q3a6,q3a7,q3a7_1x,q3a7_2x,q3a7_3x,q3a7_4x,q3a8,q3a9,q3a10,q3a11,q3a12,q3a13,q3b1,q3b2,q3b2x,q3b3,q3b3x,q3b4,q3b5,q3b6,q3b6a,q3b6x,q3b7,q3b8,q3b8x,q3b9,q3b10,q3b11_1,q3b11_1x,q3b11_2,q3b11_2x,q3b11_3,q3b11_3x,q3b12_1,q3b12_1x,q3b12_2,q3b12_2x,q3b12_3,q3b12_3x,q3b13,q3b14,q3b14x,q3b15,q3b16,q3b17,q3b17x,q3b18,q3b19,q3b20,q3b20x,q3b21,q3b22,q3b23,q3b23x,q3b24,q3b25,q3b26,q3b26x,q3b27,q3b28,q3b29,q3b29x,q3b30,q3b31,q3b32,q3b32x,q3b33,q3b34,q3b35,q3b35x,q3b36,q3b36x,q3b37,q3c1,q3c2,q3c3,q3c3x,q3c4,q3c5,q3c6,q3c6x,q3c7,q3c8,q3c9,q3c9x,q3c10,q3c11,q3c12,q3c12x,q3c13,q3c13x,q3c14,q3c15,q3c16,q3d1,q3d2,q3d3,q3newyork,q3weight_p,q3weight_pu
47,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,1,2,1,2010,97,,8,1,1,,150000,0,,,,1,1,2002,97,,97,,1,Mercedes Benz E320 Wagon,97,,97,,1,97,,6,1,97,,8,1,97,,8,1,98,,8,1,97,,8,1,97,,7,0,,,,1,1,"jewelry, silver",1,25000,,1,1,,,,0,,,,0,,,,2,,,,,,0,0,0,0,0,1,4055.880928,6083
48,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,,0,,,,,,3,0,0,0,1,3,2,1,1988,1,117000,,0,,,,1,1,140000,,0,,,,,,,,,,,,,1,1,1,,0,,,,0,,,,0,,,,1,1,2000,,1,98,,9,0,,,,0,,,,,,0,,,,,1,1,90000,,0,,,,1,1,loans from family members,1,100000,,0,0,0,0,0,1,1305.509593,1958
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,,,,,,3,0,0,0,2,2,3,,,,,,,,,,,,,,1,1,2010,97,,97,,1,buick lacrosse,97,,97,,1,1,2500,,1,1,25000,,0,,,,0,,,,0,,,,1,1,50000,,0,,,,1,1,jewelry,1,30000,,1,2,1,200,,0,,,,0,,,,1,1,credit card debt,1,5000,,0,0,0,0,0,1,3831.183924,5746
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,2,0,0,0,2,3,3,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,98,,98,0,,,,0,,,,0,,,,,,0,,,,,98,,,,1,1,10000,,2,,,,,,0,0,0,98,98,1,2511.005684,2511
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,3,0,0,0,3,2,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,35000,,1,1,1000000,,1,98,,8,98,,,,1,98,,7,0,,,,1,1,50000,,1,1,"art work, antiques",1,50000,,1,2,1,35000,,0,,,,0,,,,1,1,sdaughter's unpaid college loans for which I am co-signer,1,25000,,1,0,0,0,0,1,910.7896347,1366
