imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,r_age,sevhard,sevhealthd,spmpov,spmres
0,4,0,0,0,0,5. Hispanic,29,0,0,0,107014.25
0,3,1,0,0,0,4. Other / MultiRacial,60,0,1,0,29029.598
0,2,1,1,0,0,2. Black Non-Hispanic,51,1,1,0,14661.793
0,4,1,0,0,0,1. White Non-Hispanic,49,0,0,0,167547.3
0,4,1,0,0,0,1. White Non-Hispanic,70,0,0,0,105155.49
0,3,1,0,0,0,5. Hispanic,52,0,0,0,42148.25
0,3,1,0,0,0,5. Hispanic,42,0,1,0,35450.25
0,4,1,0,0,0,1. White Non-Hispanic,56,0,0,0,207400
0,4,0,0,0,0,1. White Non-Hispanic,53,0,0,0,100384.1
0,4,1,0,0,0,3. Asian Non-Hispanic,39,0,0,0,47282.859
0,4,0,0,0,0,1. White Non-Hispanic,46,0,0,1,0
1,4,1,1,1,0,2. Black Non-Hispanic,56,1,0,0,102847.08
0,4,1,0,0,0,1. White Non-Hispanic,49,1,0,0,42816.973
0,4,1,0,0,0,2. Black Non-Hispanic,32,0,0,0,88565.875
0,4,1,0,0,0,1. White Non-Hispanic,51,0,0,0,207400
0,4,1,0,0,0,1. White Non-Hispanic,59,0,0,0,20000
0,4,1,0,0,0,1. White Non-Hispanic,65,1,1,0,35056.75
0,3,1,1,1,0,2. Black Non-Hispanic,47,1,0,0,131622.75
0,4,1,0,0,0,1. White Non-Hispanic,80,1,0,0,162221.44
0,1,1,0,0,0,4. Other / MultiRacial,59,0,0,1,-1180.02
0,3,1,1,1,0,1. White Non-Hispanic,77,1,0,0,17669.98
0,4,1,0,0,0,1. White Non-Hispanic,32,0,0,0,59510.199
0,4,0,0,0,0,1. White Non-Hispanic,,0,0,1,7880.6431
0,4,1,1,0,0,3. Asian Non-Hispanic,22,1,0,1,17565.096
0,4,0,0,0,0,2. Black Non-Hispanic,64,1,0,0,31180
0,3,1,0,0,0,2. Black Non-Hispanic,27,0,0,0,59172.652
1,2,0,0,0,0,2. Black Non-Hispanic,20,1,0,0,143467.14
1,4,1,0,0,0,5. Hispanic,47,1,0,0,79147.406
0,4,0,1,0,0,2. Black Non-Hispanic,50,1,0,0,158921.59
0,1,0,0,0,1,5. Hispanic,51,1,1,1,36905.719
0,4,1,0,0,1,3. Asian Non-Hispanic,58,1,1,1,12952.5
0,3,1,0,0,0,1. White Non-Hispanic,75,0,0,0,46068.934
